episode,phase,total_steps,outcome,length,discounted_return
349,il,6487,success,9,0.81
350,il,6493,collision,6,-0.236
351,il,6500,success,7,0.8538
352,il,6525,collision,25,-0.1474
353,il,6528,collision,3,-0.2456
354,il,6550,collision,22,-0.1556
355,il,6560,collision,10,-0.2078
356,il,6591,success,31,0.4538
357,il,6619,too_close,28,0.4911
358,il,6650,too_close,31,0.4471
359,il,6684,success,34,0.4193
360,il,6702,success,18,0.639
361,il,6710,collision,8,-0.2112
362,il,6712,collision,2,-0.2435
363,il,6733,too_close,21,-0.1562
364,il,6748,success,15,0.6916
365,il,6773,too_close,25,0.5239
366,il,6799,collision,26,-0.1604
367,il,6820,collision,21,-0.1476
368,il,6851,success,31,0.4538
369,il,6876,success,25,0.5314
370,il,6885,success,9,0.81
371,il,6895,collision,10,-0.2013
372,il,6923,too_close,28,0.4911
373,il,6931,collision,8,-0.2118
374,il,6965,too_close,34,0.4193
375,il,6967,collision,2,-0.2579
376,il,6987,collision,20,-0.1523
377,il,7012,success,25,0.5314
378,il,7021,collision,9,-0.2242
379,il,7027,success,6,0.8766
380,il,7079,collision,52,-0.0706
381,il,7084,collision,5,-0.2396
382,il,7097,too_close,13,0.7006
383,il,7114,success,17,0.6561
384,il,7118,success,4,0.924
385,il,7126,collision,8,-0.2079
386,il,7157,success,31,0.4538
387,il,7179,collision,22,-0.1603
388,il,7205,success,26,0.5176
389,il,7213,success,8,0.8316
390,il,7285,too_close,72,0.1433
391,il,7326,too_close,41,0.3266
392,il,7339,success,13,0.729
393,il,7340,collision,1,-0.25
394,il,7379,success,39,0.3675
395,il,7381,collision,2,-0.2546
396,il,7434,collision,53,-0.2686
397,il,7459,success,25,0.5314
398,il,7475,collision,16,-0.1956
399,il,7495,too_close,20,0.6009
400,il,7508,collision,13,-0.1946
401,il,7577,too_close,69,0.1668
402,il,7580,collision,3,-0.2467
403,il,7599,success,19,0.6224
404,il,7614,collision,15,-0.1744
405,il,7627,success,13,0.729
406,il,7636,success,9,0.81
407,il,7650,success,14,0.71
408,il,7681,too_close,31,0.4208
409,il,7709,too_close,28,0.4394
